sentiment,review_lemmatized
positive,titanic long well make tragic adventure love story take place illfate voyage unsinkable ship writerdirector james cameron do great job make movie fictional love story two different people combine real event titanic sink hit iceberg april claim thousand life perish icy freeing water north atlantic two lead film great role include leonardo dicaprio kate winslet make good onscreen couple dicpario winslet also genuine chemistry together make romance eventually blossom much believable show real talent one come continued show recently film well rest support cast include billy zane kathy bates frances fisher jonathan hyde bill paxton small role equally impressive character help bring life film love story action suspense special effect magnificent do especially time horror situation character feel real really happen make want survive life death situation pace little slow time little long rest movie make flaw titanic make great date movie sure make girl cry almost every time watch it fact really happen definitely add movie making feel sorry life lose titanic sink atlantic hit iceberg overall titanic tragic heartbreaking story two people fall love illfate ship that s bring life exceptional performance cast especially dicaprio winslet definitely make movie worth time watch
negative,say independent effort beyond fact shoot television camera whether conceit budget constraint make watch variation theme romero easier constantly remind watch somebodys school project good derivative bad cheapbr br writerdirector georg koszulinski who also appear film interesting thing stock footage say editing style direct style consist inyourface closeup tv camera make think watch publicaccess television instead actual honesttogoodness filmbr br the story copy paste bit piece various source include aforementioned romero dead trilogy road warrior dig stock footage future look like past blair witch projectbr br what result hourandnothing worth zombie track eat human okay human case clone change anything menubr br the year first strand people clone nineteen year start malfunction particularly dietary area course clone go bad first thing taste human flesh or case clone human flesh safe indoor safe outdoors matter time flesheate ghouls devour hero see before br br I mind people rip romero do well new territory cover film night live dead meet blair witch project shoot television camera particularly disappointing dvd cover make look like shot least mm film problem story equally cheap film offer bleak vision future technology evolve point human cloning possible must continue clone favourite movie
negative,maybe fred sandford use say one across lip release film unsuspecte public perhaps person rue morgue call fender hellbender say goodbr br five young girl apparently take shortcut home high school football game become lose stop ask direction small store middle nowhere driver accidentally hit park suv knock headlight girl decide leave go find driver driver come find they headlight vehicle got dinge another reason girl yet understand driver first catch yes she brandish shot gun make strip down keep scream they how much see course girl scare death know talk aboutbr br as night roll girl end cat mouse game driver suv manage inflict manner injury girl remarkably resilient shot gun blast screwdriver want they eventually come find something happen back store leave reason woman psychotic rage eventually chance revenge take far gobr br there element film rather disturb scary unfortunately moment undermine bad act bad dialog huge lapse credibility one girl hit shot gun blast appear mortally wound feel cold life pass eye get well far minivan run almost empty gas tank speed mile per hour need one thing apparently get great mileagebr br there end girl get revenge film go bit that anticlimax least learn set woman off driver still worry messing mom van obviously least anyone worriesbr br so bad film I ve see amateur good yet bite scary gruesome time completely terrible take cake plenty shrill hysteric want put two across ear watch this which way necessarily recommend
positive,film comedy expose I ve always hate dog show consider ridiculous getup people put dog idiotic name give they hence reason uncontrolle cackle watch film get kick something take seriously even though gain small insignificant like miniature golf jump roping championship need set obscure world record act much refined film wait guffman mainly due fluidity character seem comfortable specific act partner film previous eugene levy great michael mckean fred willard however dog eventually steal show again want see bunch human film dog anyway
negative,except acting meryl streep note always I d avoid film date movie week quality it worth watching keep several understorie mind couple endure medium scrutiny different treatedbr br throughout movie issue credibility different australian different we most rest world most we automatically come air oddness they couple involve religious different culture adventist different that lifestyle mindset suspect begin with dingo different animal dog be face oddness question real story then society and world treat different different accent different belief treat say suspectbr br its difficult hear phrase a dingo take baby without laugh humorous post sadly web it year follow story movie discover as find web search much large child stalk dingo research expert dingo show possible probable baby take dingo maybe pair extract expertly clothing eat within moment without tracebr br yet leave behind question people defend dingo find endanger child rather kill dingo save child woman affect expression cold assume guilty onbr br haunt question without film
positive,john voight play title character movie base author pat conroys prince tides autobiography fine teacher film tell story naive pat conroy young english teacher whose first assignment elementary school rural island white man island must battle internal external pressure attempt instill education value child generation systematically deny thing solid performance really make think
positive,one thing really can not seem forget movie begin classic comedy brilliantly craft love it see no spoiler here spar devito crystal also glow movie devito perfect oppress son one favourite highly recommend fan crystal
negative,christopher lambert attract movie waste plot hole string vest special effect good take much figure creature mother creature owe little debt predator anticlimatical movie could do whole lot well raise one interesting point however hollywood going discover rich vein european folklore wait mine
negative,person think entire forensic scene crime community usa must detest almighty slap face rookie cop first crime scene back slow respond time send kid find body local store buy disposable camera time return still senior cop socos assistance lovely jolie new york it start rain get work photograph evidence shed stand front amtrak stop disturb scenebr br I want know name camera photograph incredibly detailed amount zooming distort image horror continue film pretty ordinary I m afraid lincoln rhyme character play mr washington man highly dedicated forensic crime scene examiner year experience who instead highly train invisible local crime scene examiner entrust work untrained cop rookie cop proceed find obviously place clue move photograph thus contaminate every item make dna profile well nigh impossible bright idea eh know one able suspend disbelief degree say film intelligent must entirely disengage ability think order find film believablebr br I give film superb act denzel washington miss jolie lip item require disbelief suspend
positive,catch minute portion movie turner classic movie month back think every minute watch gold and somewhere film middle want spoil whole thing watch start decide would rent immediately well video store frequent copy take six month finally go somewhere else rent it previous experience see chaplin short funny greatly artful see snippet great dictator check three film city light gold rush modern time city light great find gold rush little overrated still worthwhile find modern time one funniest film I ve ever see second funniest behind keaton sherlock jr exactlybr br finally whole great dictator well honest moment comedy drama moment always mix well chaplin comedy work well mixed melodrama city light well example this always work social commentary plus fact dialogue lessen impressiveness chaplin talent get wrong like movie whole think little consequence would give solid rating scaleif end final speech jewish barber give enormously powerful yes adresse tempora et mores message perfectly applicable world today speech bring tear consider one good ending I ve ever see final score
negative,love documentaries andy goldsworthy doc greati look forward one disappoint know kahn intrigue idea lonely death penn station men room must story here mistakenly believedthe story sadly delude woman affair ugly little famous married man absence anything like explanation guy horrible behavior be give endlessly repeat clip kahn walk around painfully long supposedly contemplative shot soulless buildingsactually building interesting thrust film ask we think guy himself overwrought soundtrack reference emotional tug entirely absent film kahns apparent gift excuse behavior martyr mistress film seem want give kahn great artistes free pass thus make director mother sympathetic figure buy it
negative,get one absolute bad movie I ve ever see life write act pathetic rank right uncle sam time bad movie ever make however see crap like able make video really inspire pursue wild dream make film know could well job maker killer do
negative,total disgrace truly awful screenplay dialogue joke combined director clue life saudi arabia surprise quite saudi film ha director palestiniancanadian writer lebanese lead actress jordanian shooting take place dubai element show well make film far represent saudi society yes contain saudi clichs stuff see cartoon newspaper everyday that s everything film opportunity show real problem saudi society least give we something new genuine youth trouble concern saudi arabia instead copy paste there result mess even supposedly love story movie exist least see it bright side total debacle good acting support cast veteran khaled sami funny badly write role grand father clearly got miscast look young actor play son also actor play fanatic brother role turki alyusuf do well fact good actor film rest cast professional long ok job lead actor hisham abdulrahman bad one look little adorable bobby situation even say line proper manner charisma make win title star academy famous reality show good interview tv show weak link film lead actress mind much even act badly scene overplay sensuality unneeded waybr br the film huge hit saudi flock thousand neighboring bahrain dubai attend screen there make tone money screen pay per view broadcast tv span week cash saudi eagerness homegrown entertainment alas film neither homegrown entertaining
