sentiment,review_cleaned
positive,titanic long well made tragic adventure love story takes place illfated voyage unsinkable ship writerdirector james cameron done great job making movie fictional love story two different people combining real event titanic sunk hitting iceberg april claiming thousands lives perished icy freeing waters north atlantic two leads film great roles including leonardo dicaprio kate winslet make good onscreen couple dicpario winslet also genuine chemistry together made romance eventually blossoms much believable showed real talent one came continued show recently films well rest supporting cast including billy zane kathy bates frances fisher jonathan hyde bill paxton small role equally impressive characters help bring life film love story action suspense special effects magnificent done especially time horror situation characters felt real really happened making want survive life death situation pacing little slow times little long rest movie made flaws titanic makes great date movie sure make girls cry almost every time watch it fact really happened definitely added movie making feel sorry lives lost titanic sunk atlantic hitting iceberg overall titanic tragic heartbreaking story two people fall love illfated ship thats brought life exceptional performances cast especially dicaprio winslet definitely make movie worth time watch
negative,said independent effort beyond fact shot television cameras whether conceit budget constraints make watching variation theme romero easier constantly reminded watching somebodys school project best derivative worst cheapbr br writerdirector georg koszulinski who also appears film interesting things stock footage says editing style directing style consists inyourface closeups tv cameras made think watching publicaccess television instead actual honesttogoodness filmbr br the story copies pastes bits pieces various sources including aforementioned romeros dead trilogy road warrior dig stock footage future looks like past blair witch projectbr br what results hourandnothings worth zombies tracking eating humans okay humans case clones change anything menubr br the year first strand people cloned nineteen years started malfunction particularly dietary area course clones go bad first thing taste human flesh or case cloned human flesh safe indoors safe outdoors matter time flesheating ghouls devour heroes seen before br br i mind people ripping romero done well new territory covered film night living dead meets blair witch project shot television cameras particularly disappointing dvd cover makes look like shot least mm film problem story equally cheap film offers bleak vision future technology evolved point human cloning possible must continue clone favourite movies
negative,maybe fred sandford used say one across lips released film unsuspecting public perhaps person rue morgue called fender hellbender said goodbr br five young girls apparently taking shortcut home high school football game become lost stop ask directions small store middle nowhere driver accidentally hits parked suv knocks headlight girls decide leave go find driver driver come find them headlight vehicle got dinged another reason girls yet understand driver first catch yes she brandishes shot gun makes strip down keeps screaming them how much see course girls scared death know talking aboutbr br as night rolls girls end cat mouse game driver suv manages inflict manner injuries girls remarkably resilient shot gun blasts screwdrivers want them eventually come find something happened back store left reason womans psychotic rage eventually chance revenge take far gobr br there elements film rather disturbing scary unfortunately moments undermined bad acting bad dialog huge lapses credibility one girl hit shot gun blast appears mortally wounded feeling cold life passing eyes got better far minivan run almost empty gas tank speeds miles per hour need one things apparently gets great mileagebr br there ending girls got revenge film goes bit that anticlimax least learn set woman off driver still worried messing moms van obviously least anyones worriesbr br so worst film ive seen amateur good yet bit scary gruesome times completely terrible take cake plenty shrill hysterics want put two across ears watch this which way necessarily recommend
positive,film comedy expose ive always hated dog shows considering ridiculous getups people put dogs idiotic names give them hence reason uncontrolled cackling watching film get kick something taken seriously even though gains small insignificant like miniature golf jump roping championships need set obscure world record acting much refined film waiting guffman mainly due fluidity characters seem comfortable specific acting partners film previous eugene levy great michael mckean fred willard however dogs eventually stole show again wants see bunch humans film dogs anyway
negative,except acting meryl streep note always id avoid film dated movie week quality it worth watching keep several understories mind couple endures media scrutiny different treatedbr br throughout movie issue credibility different australians different us most rest world most us automatically come air oddness them couple involved religious different culture adventists different that lifestyle mindset suspect begin with dingos different animals dogs were faced oddness questions real story then society and world treats different different accents different beliefs treat say suspectbr br its difficult hear phrase a dingo took baby without laughing humorous posts sadly web it years followed story movie discovered as find web searches much larger children stalked dingos research experts dingos shown possible probable baby taken dingos maybe pair extracted expertly clothing eaten within moments without tracebr br yet left behind question people defended dingos found endangering children rather killing dingo save children womans affect expression cold assumed guilty onbr br haunting questions without film
positive,john voight plays title character movie based author pat conroys prince tides autobiography fine teacher film tells story naive pat conroy young english teacher whose first assignment elementary school rural island white man island must battle internal external pressures attempts instill education values children generations systematically denied things solid performance really makes think
positive,one thing really cant seem forget movie beginning classic comedy brilliantly crafted love it see no spoilers here sparring devito crystal also glows movie devito perfect oppressed son one favourites highly recommended fans crystal
negative,christopher lambert attracted movie waste plot holes string vest special effects good take much figure creatures mother creature owed little debt predator anticlimatical movie could done whole lot better raise one interesting point however hollywood going discover rich vein european folklore waiting mined
negative,person thinks entire forensics scenes crime community usa must detest almighty slap faces rookie cop first crime scene back slow respond time send kid found body local store buy disposable camera time returns still senior cops socos assistance lovely jolie new york it started raining gets work photographing evidence shed stood front amtrak stop disturbing scenebr br i want know name camera photographs incredibly detailed amount zooming distorted images horror continues film pretty ordinary im afraid lincoln rhyme character played mr washington man highly dedicated forensic crime scene examiner years experience who instead highly trained invisible local crime scene examiners entrusts work untrained cop rookie cop proceeds find obviously placed clues move photographing thus contaminating every item making dna profiling well nigh impossible bright idea eh know one able suspend disbelief degree say film intelligent must entirely disengaged ability think order find film believablebr br i given film superb acting denzel washington miss jolies lips items requiring disbelief suspended
positive,caught minute portion movie turner classic movies months back thought every minute watching gold and somewhere films middle want spoil whole thing watch start decided would rent immediately well video store frequent copy took six months finally go somewhere else rent it previous experience seen chaplin shorts funny greatly artful saw snippet great dictator checked three films city lights gold rush modern times city lights great found gold rush little overrated still worthwhile found modern times one funniest films ive ever seen second funniest behind keatons sherlock jr exactlybr br finally whole great dictator well honest moments comedy drama moments always mix well chaplins comedy worked well mixed melodrama city lights best example this always work social commentary plus fact dialogue lessened impressiveness chaplins talent get wrong liked movie whole thought little consequence would given solid ratings scaleif ending final speech jewish barber gives enormously powerful yes adressed tempora et mores message perfectly applicable world today speech brought tears consider one best endings ive ever seen final score
negative,love documentaries andy goldsworthy doc greati looked forward one disappointed knew kahn intrigued idea lonely death penn station mens room must story here mistakenly believedthe story sadly deluded women affairs ugly little famous married man absence anything like explanation guys horrible behavior were given endlessly repeated clips kahn walking around painfully long supposedly contemplative shots soulless buildingsactually buildings interesting thrust film asks us think guy himself overwrought soundtrack references emotional tug entirely absent film kahns apparent gifts excuse behavior martyr mistresses film seems want give kahn great artistes free pass thus make director mother sympathetic figures buy it
negative,got one absolute worst movies ive ever seen life writing acting pathetic ranks right uncle sam time worst movies ever made however see crap like able make video really inspires pursue wild dreams making films know could better job makers killers did
